"","category","dis"
"1","u.s.",0.117875162369231
"2","world",0.137239527770708
"3","sports",0.119127791618413
"4","arts",0.0958153512633547
"5","real estate",0.202133960492769
"6","business",0.141950057430673
"7","theater",0.205222947475154
"8","health",0.142623988884063
"9","style",0.0957605053151107
"10","magazine",0.0458893065992523
"11","opinion",0.0582772638792032
"12","front page",0.100064459368918
"13","washington",0.106043671375067
"14","home",0.112572905946679
"15","garden",0.112572905946679
"16","week in review",0.0631829783083683
"17","science",0.132878284748372
"18","books",0.132222394638587
"19","travel",0.202889893070315
"20","corrections",0.0458620381556656
"21","new york",0.0865388986164107
"22","region",0.0865388986164107
"23","technology",0.104758064902011
"24","education",0.229535391986378
"25","movies",0.122645082316638
"26","obituaries",0.09639521521165
"27","paid death notices",0.0623765790773856
"28","dining",0.189176633183074
"29","wine",0.189176633183074
"30","automobiles",1
